orbital_period,transit_duration,transit_depth,planet_radius,snr,semi_major_axis,stellar_density,equilibrium_temp,inclination,stellar_radius,stellar_mass,impact_parameter,koi_disposition
11.37936986,2.6255,1023.5,3.95,37.9,0.0993,0.63438,806.0,86.8,1.015,1.007,0.911,CONFIRMED
26.39432897,3.573,1510.9,3.07,48.2,0.1635,2.93923,489.0,89.28,0.763,0.846,0.602,CONFIRMED
13.57078281,3.3539,511.7,2.64,88.4,0.1096,0.49865,785.0,87.07,1.012,0.951,0.866,CONFIRMED
7.12594387,3.0014,192.4,1.79,47.1,0.0711,0.23879,997.0,84.02,1.087,0.941,0.898,CONFIRMED
7.442652004,2.3078,24446.0,15.03,835.6,0.0742,7.48712,967.0,89.72,0.956,0.981,0.137,FALSE POSITIVE
16.38489988,3.0249,1127.1,2.0,28.9,0.1084,5.4538,433.0,90.0,0.615,0.633,0.001,CONFIRMED
7.8774163,2.0805,1306.1,2.16,38.7,0.0665,8.09685,553.0,89.92,0.615,0.633,0.041,CONFIRMED
36.4454001,4.007,1122.3,1.99,21.7,0.1847,5.21237,332.0,89.98,0.615,0.633,0.028,CONFIRMED
3.728732147,2.683,5226.5,6.02,345.2,0.0455,1.24118,1023.0,86.7,0.809,0.907,0.558,CONFIRMED
40.4195037,3.362,6256.0,7.51,36.9,0.2062,1.89549,467.0,89.05,0.781,0.714,0.911,CANDIDATE
2.243380573,1.1196,821.7,1.99,38.9,0.028,1.50915,822.0,82.88,0.564,0.578,0.915,CONFIRMED
10.405998015,6.5036,14489.0,11.23,745.2,0.0855,0.38489,833.0,88.57,0.924,0.77,0.324,FALSE POSITIVE
2.337437946,1.9982,971.2,2.34,82.4,0.0325,2.41093,1070.0,88.19,0.765,0.85,0.28,CONFIRMED
7.2406612,0.558,556.4,19.45,13.7,0.0692,8.66412,734.0,87.62,0.765,0.85,1.198,CANDIDATE
3.43591631,3.133,23.2,0.55,8.7,0.0437,0.47024,1272.0,84.62,1.087,0.941,0.624,CANDIDATE
11.59822233,2.5237,2804.5,2.65,71.0,0.0798,3.14915,396.0,88.62,0.473,0.503,0.679,CONFIRMED
6.575315881,4.3084,2793.3,5.31,221.1,0.067,0.64392,1015.0,88.03,0.989,0.927,0.39,CONFIRMED
7.275040844,7.5377,3001.0,4.86,312.1,0.0732,0.10578,833.0,85.29,0.867,0.986,0.547,CONFIRMED
19.27153892,2.7594,1219.8,1.93,37.1,0.1171,8.48241,393.0,89.97,0.56,0.576,0.031,CONFIRMED
10.06524317,1.369,1053.3,1.91,30.3,0.076,18.09666,488.0,89.22,0.56,0.576,0.628,CONFIRMED
12.3935651,3.8896,916.6,2.66,35.8,0.0983,0.27483,677.0,86.13,0.75,0.832,0.883,CONFIRMED
43.84439721,6.802,615.2,2.87,83.7,0.2395,0.22039,531.0,88.27,1.012,0.951,0.852,CONFIRMED
3.341913228,3.813,725.3,21.55,39.0,0.0415,0.01791,1032.0,56.44,0.811,0.853,1.213,FALSE POSITIVE
1.626630225,2.1145,1620.6,32.43,103.6,0.026,0.09631,1547.0,58.03,0.973,0.889,1.26,FALSE POSITIVE
2.711504086,3.0099,837.5,3.12,64.5,0.0401,0.91618,1420.0,89.81,1.076,1.169,0.023,CONFIRMED
7.21203748,4.0491,950.4,3.32,51.5,0.077,0.99867,1025.0,89.95,1.076,1.169,0.012,CONFIRMED
14.1798187,2.505,459.9,1.88,11.2,0.1137,7.76746,711.0,89.95,0.878,0.975,0.1601,FALSE POSITIVE
8.47237911,2.7245,1123.5,2.59,47.6,0.0778,3.86328,751.0,89.95,0.788,0.884,0.022,CONFIRMED
60.4189369,5.039,931.3,2.36,20.1,0.2884,4.26444,390.0,89.94,0.788,0.884,0.094,CONFIRMED
12.611904345,5.1497,6105.6,7.4,277.2,0.1058,0.61222,753.0,88.17,0.919,0.992,0.55,CONFIRMED
1.433769925,1.8868,1976.3,46.58,112.6,0.0256,0.1372,1920.0,58.99,1.339,1.083,1.268,FALSE POSITIVE
